Date,Open,High,Low,Close,Adj Close
"Dec 24, 2025",314.77,315.08,311.92,314.09,314.09
"Dec 23, 2025",309.63,314.94,309.32,314.35,314.35
"Dec 22, 2025",309.88,310.13,305.30,309.78,309.78
"Dec 19, 2025",301.73,307.25,300.97,307.16,307.16
"Dec 18, 2025",301.72,303.96,299.23,302.46,302.46
"Dec 17, 2025",308.01,308.09,296.12,296.72,296.72
"Dec 16, 2025",304.95,310.77,302.59,306.57,306.57
