Date,Open,High,Low,Close,Adj Close
"Dec 24, 2025",272.34,275.43,272.25,273.81,273.81
"Dec 23, 2025",270.84,272.5,269.56,272.36,272.36
"Dec 22, 2025",272.86,273.88,270.51,270.97,270.97
"Dec 19, 2025",272.15,274.6,269.9,273.67,273.67
"Dec 18, 2025",273.61,273.63,266.95,272.19,272.19
"Dec 17, 2025",275.01,276.16,271.64,271.84,271.84
"Dec 16, 2025",272.82,275.5,271.79,274.61,274.61
