Date,Open,High,Low,Close,Adj Close
"Dec 24, 2025",485.80,489.16,484.83,488.02,488.02
"Dec 23, 2025",484.98,487.83,484.74,486.85,486.85
"Dec 22, 2025",486.12,488.73,482.69,484.92,484.92
"Dec 19, 2025",487.36,487.85,482.49,485.92,485.92
"Dec 18, 2025",478.19,489.60,477.89,483.98,483.98
"Dec 17, 2025",476.91,480.00,475.00,476.12,476.12
"Dec 16, 2025",471.91,477.89,470.88,476.39,476.39
"Dec 15, 2025",480.10,480.72,472.52,474.82,474.82
